,GIS_NTA_NAME
0,Airport
1,Allerton-Pelham Gardens
2,Annadale-Huguenot-Prince's Bay-Eltingville
3,Arden Heights
4,Astoria
5,Auburndale
6,Baisley Park
7,Bath Beach
8,Battery Park City-Lower Manhattan
9,Bay Ridge
10,Bayside-Bayside Hills
11,Bedford
12,Bedford Park-Fordham North
13,Bellerose
14,Belmont
15,Bensonhurst East
16,Bensonhurst West
17,Borough Park
18,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
19,Briarwood-Jamaica Hills
20,Brighton Beach
21,Bronxdale
22,Brooklyn Heights-Cobble Hill
23,Brownsville
24,Bushwick North
25,Bushwick South
26,Cambria Heights
27,Canarsie
28,Carroll Gardens-Columbia Street-Red Hook
29,Central Harlem North-Polo Grounds
30,Central Harlem South
31,Charleston-Richmond Valley-Tottenville
32,Chinatown
33,Claremont-Bathgate
34,Clinton
35,Clinton Hill
36,Co-op City
37,College Point
38,Corona
39,Crotona Park East
40,Crown Heights North
41,Crown Heights South
42,Cypress Hills-City Line
43,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
44,Douglas Manor-Douglaston-Little Neck
45,Dyker Heights
46,East Concourse-Concourse Village
47,East Elmhurst
48,East Flatbush-Farragut
49,East Flushing
50,East Harlem North
51,East Harlem South
52,East New York
53,East New York (Pennsylvania Ave)
54,East Tremont
55,East Village
56,East Williamsburg
57,Eastchester-Edenwald-Baychester
58,Elmhurst
59,Elmhurst-Maspeth
60,Erasmus
61,Far Rockaway-Bayswater
62,Flatbush
63,Flatlands
64,Flushing
65,Fordham South
66,Forest Hills
67,Fort Greene
68,Fresh Meadows-Utopia
69,Ft. Totten-Bay Terrace-Clearview
70,Georgetown-Marine Park-Bergen Beach-Mill Basin
71,Glen Oaks-Floral Park-New Hyde Park
72,Glendale
73,Gramercy
74,Grasmere-Arrochar-Ft. Wadsworth
75,Gravesend
76,Great Kills
77,Greenpoint
78,Grymes Hill-Clifton-Fox Hills
79,Hamilton Heights
80,Hammels-Arverne-Edgemere
81,Highbridge
82,Hollis
83,Homecrest
84,Hudson Yards-Chelsea-Flatiron-Union Square
85,Hunters Point-Sunnyside-West Maspeth
86,Hunts Point
87,Jackson Heights
88,Jamaica
89,Jamaica Estates-Holliswood
90,Kensington-Ocean Parkway
91,Kew Gardens
92,Kew Gardens Hills
93,Kingsbridge Heights
94,Laurelton
95,Lenox Hill-Roosevelt Island
96,Lincoln Square
97,Lindenwood-Howard Beach
98,Longwood
99,Lower East Side
100,Madison
101,Manhattanville
102,Marble Hill-Inwood
103,Mariner's Harbor-Arlington-Port Ivory-Graniteville
104,Maspeth
105,Melrose South-Mott Haven North
106,Middle Village
107,Midtown-Midtown South
108,Midwood
109,Morningside Heights
110,Morrisania-Melrose
111,Mott Haven-Port Morris
112,Mount Hope
113,Murray Hill
114,Murray Hill-Kips Bay
115,New Brighton-Silver Lake
116,New Dorp-Midland Beach
117,New Springville-Bloomfield-Travis
118,North Corona
119,North Riverdale-Fieldston-Riverdale
120,North Side-South Side
121,Norwood
122,Oakland Gardens
123,Oakwood-Oakwood Beach
124,Ocean Hill
125,Ocean Parkway South
126,Old Astoria
127,Old Town-Dongan Hills-South Beach
128,Ozone Park
129,Park Slope-Gowanus
130,Parkchester
131,Pelham Bay-Country Club-City Island
132,Pelham Parkway
133,Pomonok-Flushing Heights-Hillcrest
134,Port Richmond
135,Prospect Heights
136,Prospect Lefferts Gardens-Wingate
137,Queens Village
138,Queensboro Hill
139,Queensbridge-Ravenswood-Long Island City
140,Rego Park
141,Richmond Hill
142,Ridgewood
143,Rikers Island
144,Rosedale
145,Rossville-Woodrow
146,Rugby-Remsen Village
147,Schuylerville-Throgs Neck-Edgewater Park
148,Seagate-Coney Island
149,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
150,SoHo-TriBeCa-Civic Center-Little Italy
151,Soundview-Bruckner
152,Soundview-Castle Hill-Clason Point-Harding Park
153,South Jamaica
154,South Ozone Park
155,Springfield Gardens North
156,Springfield Gardens South-Brookville
157,Spuyten Duyvil-Kingsbridge
158,St. Albans
159,Stapleton-Rosebank
160,Starrett City
161,Steinway
162,Stuyvesant Heights
163,Stuyvesant Town-Cooper Village
164,Sunset Park East
165,Sunset Park West
166,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
167,Turtle Bay-East Midtown
168,University Heights-Morris Heights
169,Upper East Side-Carnegie Hill
170,Upper West Side
171,Van Cortlandt Village
172,Van Nest-Morris Park-Westchester Square
173,Washington Heights North
174,Washington Heights South
175,West Brighton
176,West Concourse
177,West Farms-Bronx River
178,West New Brighton-New Brighton-St. George
179,West Village
180,Westchester-Unionport
181,Westerleigh
182,Whitestone
183,Williamsbridge-Olinville
184,Williamsburg
185,Windsor Terrace
186,Woodhaven
187,Woodlawn-Wakefield
188,Woodside
189,Yorkville
190,park-cemetery-etc-Bronx
191,park-cemetery-etc-Brooklyn
192,park-cemetery-etc-Manhattan
193,park-cemetery-etc-Queens
